title,platform_name,region_code,amount
Assassin's Creed II,PS3,NA,2.54
Super Smash Bros.,N64,NA,2.95
Assassin's Creed,X360,NA,3.28
Batman: Arkham City,PS3,NA,2.7
Forza Motorsport 3,X360,NA,2.99
Monster Hunter Freedom Unite,PSP,NA,0.47
Super Mario Advance,GBA,NA,3.14
Mario Kart: Super Circuit,GBA,NA,2.62
Super Mario World,GBA,NA,3.21
Pokemon Stadium,N64,NA,3.18
Call of Duty: World at War,PS3,NA,2.72
Crash Bandicoot: The Wrath of Cortex,PS2,NA,2.07
Minecraft,PS3,NA,1.97
Final Fantasy XIII,PS3,NA,1.74
Dr. Mario,GB,NA,2.18
Pokemon Pinball,GB,NA,3.02
Assassin's Creed III,X360,NA,3.13
Final Fantasy IX,PS,NA,1.62
Final Fantasy X-2,PS2,NA,1.92
Donkey Kong 64,N64,NA,3.33
Assassin's Creed II,X360,NA,3.1
Professor Layton and the Curious Village,DS,NA,1.22
Tomb Raider II,PS,NA,2.3
Dragon Quest VIII: Journey of the Cursed King,PS2,NA,0.65
Diablo III,PC,NA,2.43
Super Mario Bros. 3,GBA,NA,2.93
New Super Mario Bros. U,WiiU,NA,2.32
Super Mario Land 3: Wario Land,GB,NA,2.49
FIFA Soccer 13,X360,NA,1.08
The Legend of Zelda: Phantom Hourglass,DS,NA,1.9
Donkey Kong Country 2: Diddy's Kong Quest,SNES,NA,2.1
Tomodachi Life,3DS,NA,0.96
Mario & Sonic at the Olympic Games,DS,NA,1.64
Medal of Honor: Rising Sun,PS2,NA,1.98
Kirby's Dream Land,GB,NA,2.71
Fable III,X360,NA,3.59
Call of Duty: Advanced Warfare,XOne,NA,3.21
Microsoft Flight Simulator,PC,NA,3.22
Guitar Hero II,PS2,NA,3.81
Resident Evil 5,PS3,NA,1.96
Grand Theft Auto V,XOne,NA,2.66
Grand Theft Auto: Vice City Stories,PSP,NA,1.7
FIFA Soccer 11,PS3,NA,0.6
Super Mario Bros.,GB,NA,3.4
Resident Evil,PS,NA,2.05
Tony Hawk's Pro Skater,PS,NA,3.42
Super Smash Bros. for Wii U and 3DS,WiiU,NA,2.59
Warzone 2100,PS,NA,2.79
Spyro the Dragon,PS,NA,3.36
Link's Crossbow Training,Wii,NA,3.06
Guitar Hero III: Legends of Rock,PS2,NA,3.49
Fallout 3,X360,NA,3.39
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,NA,1.85
Uncharted: Drake's Fortune,PS3,NA,2.31
Madden NFL 06,PS2,NA,3.98
LEGO Star Wars: The Complete Saga,DS,NA,2.89
Diddy Kong Racing,N64,NA,2.91
Dr. Mario,NES,NA,2.62
God of War III,PS3,NA,2.74
StarCraft II: Wings of Liberty,PC,NA,2.56
Assassin's Creed,PS3,NA,1.91
FIFA 15,PS3,NA,0.57
Crash Team Racing,PS,NA,2.57
FIFA 17,PS4,NA,0.28
Batman: Arkham City,X360,NA,2.99
Driver 2,PS,NA,2.36
The Simpsons: Hit & Run,PS2,NA,1.73
Tony Hawk's Pro Skater 2,PS,NA,3.05
Animal Crossing: City Folk,Wii,NA,1.87
The Lord of the Rings: The Two Towers,PS2,NA,1.94
Forza Motorsport 4,X360,NA,2.08
Tomb Raider,PS,NA,2.29
Guitar Hero III: Legends of Rock,Wii,NA,3.06
The Legend of Zelda: A Link to the Past,SNES,NA,2.42
The Legend of Zelda: The Wind Waker,GC,NA,2.6
Mario & Sonic at the Olympic Winter Games,Wii,NA,1.89
Luigi's Mansion: Dark Moon,3DS,NA,1.78
Splatoon,WiiU,NA,1.55
The Last of Us,PS4,NA,1.78
Guitar Hero III: Legends of Rock,X360,NA,3.19
Madden NFL 2005,PS2,NA,4.18
Pitfall!,2600,NA,4.21
Madden NFL 07,PS2,NA,3.63
Spider-Man: The Movie,PS2,NA,2.71
Dragon Quest VII: Warriors of Eden,PS,NA,0.2
Uncharted: The Nathan Drake Collection,PS4,NA,1.96
Call of Duty: Advanced Warfare,PS3,NA,1.54
God of War,PS2,NA,2.71
Nintendo Land,WiiU,NA,2.55
Michael Jackson: The Experience,Wii,NA,2.67
Tony Hawk's Pro Skater 3,PS2,NA,2.66
Winning Eleven: Pro Evolution Soccer 2007,PS2,NA,0.1
The Elder Scrolls IV: Oblivion,X360,NA,2.82
Zelda II: The Adventure of Link,NES,NA,2.19
Need for Speed: Most Wanted,PS2,NA,2.03
Resistance: Fall of Man,PS3,NA,1.73
Sonic the Hedgehog,GEN,NA,3.03
Kingdom Hearts II,PS2,NA,2.2
FIFA 14,X360,NA,0.92
Call of Duty: Advanced Warfare,X360,NA,2.75
Asteroids,2600,NA,4.0
Fable II,X360,NA,2.51
Halo 5: Guardians,XOne,NA,2.64
Super Mario 3D World,WiiU,NA,2.11
Batman: Arkham Asylum,PS3,NA,2.23
Assassin's Creed: Revelations,PS3,NA,1.41
Namco Museum,GBA,NA,3.0
Metal Gear Solid 3: Snake Eater,PS2,NA,1.46
Daxter,PSP,NA,2.45
Warcraft II: Tides of Darkness,PC,NA,1.7
The Legend of Zelda: Ocarina of Time,3DS,NA,2.03
FIFA Soccer 06,PS2,NA,0.78
EyeToy Play,PS2,NA,0.88
Uncharted 4: A Thief's End,PS4,NA,1.3
Gran Turismo 5 Prologue,PS3,NA,1.28
Assassin's Creed: Revelations,X360,NA,2.25
Street Fighter IV,PS3,NA,2.02
FIFA 12,X360,NA,0.84
Teenage Mutant Ninja Turtles,NES,NA,3.38
Excitebike,NES,NA,2.04
Frogger,PS,NA,3.79
Madden NFL 2003,PS2,NA,3.36
Watch Dogs,PS4,NA,1.4
Half-Life,PC,NA,4.03
Super Mario World 2: Yoshi's Island,SNES,NA,1.65
FIFA Soccer 07,PS2,NA,0.71
The Legend of Zelda: Skyward Sword,Wii,NA,2.14
Street Fighter II Turbo,SNES,NA,1.42
Carnival Games,Wii,NA,2.13
Fallout 4,XOne,NA,2.45
World of Warcraft: The Burning Crusade,PC,NA,2.57
Fallout: New Vegas,X360,NA,2.65
God of War II,PS2,NA,2.32
Forza Motorsport 2,X360,NA,2.35
World Soccer Winning Eleven 9,PS2,NA,0.12
Namco Museum Vol.3,PS,NA,2.28
Tekken Tag Tournament,PS2,NA,1.68
Far Cry 4,PS4,NA,1.12
Star Fox 64,N64,NA,2.78
Minecraft,PS4,NA,1.38
Golf,NES,NA,1.22
Fallout 3,PS3,NA,2.15
Professor Layton and the Diabolical Box,DS,NA,0.92
Left 4 Dead 2,X360,NA,2.67
Namco Museum: 50th Anniversary,PS2,NA,2.08
EA Sports Active,Wii,NA,2.1
Assassin's Creed: Unity,PS4,NA,1.18
Donkey Kong Land,GB,NA,1.97
Tony Hawk's Underground,PS2,NA,2.29
Assassin's Creed IV: Black Flag,PS3,NA,1.33
Monster Hunter 4 Ultimate,3DS,NA,0.67
MotorStorm,PS3,NA,1.53
The Elder Scrolls V: Skyrim,PC,NA,1.15
Tekken 5,PS2,NA,0.93
Dragon Warrior III,NES,NA,0.1
Sports Champions,PS3,NA,2.12
NBA 2K16,PS4,NA,2.48
World Soccer Winning Eleven 8 International,PS2,NA,0.16
Flash Focus: Vision Training in Minutes a Day,DS,NA,0.87
Namco Museum Vol.1,PS,NA,2.12
The Legend of Zelda: Link's Awakening,GB,NA,2.21
Mario & Luigi: Bowser's Inside Story,DS,NA,2.26
Big Brain Academy: Wii Degree,Wii,NA,1.06
Nintendogs + cats,3DS,NA,1.44
Batman: Arkham Knight,PS4,NA,1.49
Mario & Sonic at the London 2012 Olympic Games,Wii,NA,1.14
LEGO Indiana Jones: The Original Adventures,X360,NA,2.4
Resident Evil Director's Cut,PS,NA,1.82
Ratchet & Clank: Size Matters,PSP,NA,1.4
Just Dance 2014,Wii,NA,1.98
The Sims: Unleashed,PC,NA,2.03
Super Paper Mario,Wii,NA,1.98
Harry Potter and the Sorcerer's Stone,PS,NA,1.37
The Witcher 3: Wild Hunt,PS4,NA,0.96
Resident Evil 3: Nemesis,PS,NA,1.3
Spyro: Year of the Dragon,PS,NA,1.93
FIFA Soccer 2005,PS2,NA,0.58
Pokémon Trading Card Game,GB,NA,1.49
Battlefield 4,PS3,NA,1.3
MySims,DS,NA,1.59
Tony Hawk's Pro Skater 4,PS2,NA,2.13
Midnight Club 3: DUB Edition,PSP,NA,1.65
Banjo-Kazooie,N64,NA,1.87
SOCOM: U.S. Navy SEALs,PS2,NA,2.53
Guitar Hero: World Tour,Wii,NA,2.33
Gran Turismo 6,PS3,NA,0.71
Jak and Daxter: The Precursor Legacy,PS2,NA,2.08
Pokemon Snap,N64,NA,2.23
FIFA Soccer 10,PS3,NA,0.6
Pro Evolution Soccer 2008,PS2,NA,0.05
Call of Duty: Ghosts,PS4,NA,1.78
Resident Evil 4,PS2,NA,2.08
Tom Clancy's The Division,PS4,NA,1.28
Star Wars: Battlefront,PS2,NA,1.93
Doom II: Hell on Earth,PC,NA,2.05
The Simpsons: Road Rage,PS2,NA,2.02
Cooking Mama 2: Dinner With Friends,DS,NA,1.61
Luigi's Mansion,GC,NA,2.38
Star Wars: Battlefront II,PS2,NA,2.18
WWF SmackDown!,PS,NA,2.01
Croc: Legend of the Gobbos,PS,NA,1.57
Grand Theft Auto: Liberty City Stories,PS2,NA,1.56
The Getaway,PS2,NA,1.23
Tomb Raider III: Adventures of Lara Croft,PS,NA,1.66
James Bond 007: Agent Under Fire,PS2,NA,1.9
LEGO Star Wars: The Video Game,PS2,NA,1.98
Battlefield 4,X360,NA,2.14
FIFA Soccer 11,X360,NA,0.71
Rugrats in Paris: The Movie,PS,NA,1.96
Spyro 2: Ripto's Rage!,PS,NA,2.14
Left 4 Dead,X360,NA,2.66
Mario & Sonic at the Olympic Winter Games,DS,NA,1.22
Resident Evil 5,X360,NA,2.11
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,NA,1.17
Assassin's Creed: Brotherhood,X360,NA,2.84
Kung Fu,NES,NA,1.64
Batman: Arkham Asylum,X360,NA,2.2
Clubhouse Games,DS,NA,0.59
Star Wars Battlefront (2015),XOne,NA,1.94
Battlefield: Bad Company 2,X360,NA,2.09
Guitar Hero: On Tour,DS,NA,2.11
Assassin's Creed: Unity,XOne,NA,2.26
Far Cry 3,PS3,NA,0.88
Borderlands,X360,NA,2.39
Tekken 4,PS2,NA,1.55
Battlefield 4,PS4,NA,1.34
LittleBigPlanet 2,PS3,NA,1.82
Grand Theft Auto 2,PS,NA,1.13
Final Fantasy III,SNES,NA,0.86
Spider-Man 2,PS2,NA,1.75
F-1 Race,GB,NA,1.73
FIFA Soccer 2003,PS2,NA,0.46
Crash Bash,PS,NA,1.56
LEGO Batman: The Videogame,X360,NA,2.03
Metal Gear Solid V: The Phantom Pain,PS4,NA,1.08
The Legend of Zelda: Spirit Tracks,DS,NA,1.43
WWF War Zone,PS,NA,2.47
The Legend of Zelda: Majora's Mask,N64,NA,1.9
Professor Layton and the Unwound Future,DS,NA,0.65
Rugrats: Search For Reptar,PS,NA,1.63
Assassin's Creed IV: Black Flag,X360,NA,1.9
James Bond 007: Nightfire,PS2,NA,1.45
Ratchet & Clank,PS2,NA,1.44
Mario Party 9,Wii,NA,1.15
Star Wars Episode III: Revenge of the Sith,PS2,NA,1.47
Max Payne,PS2,NA,1.99
The Lord of the Rings: The Return of the King,PS2,NA,1.5
Assassin's Creed Syndicate,PS4,NA,0.8
Destiny,XOne,NA,2.13
True Crime: Streets of LA,PS2,NA,1.89
Wii Music,Wii,NA,1.36
Gran Turismo (PSP),PSP,NA,0.5
Monster Hunter X,3DS,NA,0.25
Tekken,PS,NA,0.95
FIFA 16,XOne,NA,0.88
L.A. Noire,PS3,NA,1.27
Madden NFL 16,PS4,NA,2.33
Yokai Watch 2 Ganso/Honke,3DS,NA,0.03
007: Tomorrow Never Dies,PS,NA,1.72
Baseball,NES,NA,0.73
Killer Instinct,SNES,NA,2.26
WWF SmackDown! 2: Know Your Role,PS,NA,1.76
Crisis Core: Final Fantasy VII,PSP,NA,1.35
God of War: Chains of Olympus,PSP,NA,1.48
Dance Central,X360,NA,2.15
Enter the Matrix,PS2,NA,1.78
Super Mario Maker,WiiU,NA,1.18
Fallout: New Vegas,PS3,NA,1.52
Rhythm Heaven,DS,NA,0.58
Ace Combat 04: Shattered Skies,PS2,NA,2.06
Club Penguin: Elite Penguin Force,DS,NA,1.88
Animal Crossing,GC,NA,1.92
LEGO Batman: The Videogame,DS,NA,1.79
Sonic Rush,DS,NA,1.22
Resident Evil 6,PS3,NA,0.88
Halo: The Master Chief Collection,XOne,NA,1.89
FIFA Soccer 08,PS2,NA,0.68
Spider-Man,PS,NA,1.7
Need for Speed III: Hot Pursuit,PS,NA,2.14
Star Wars Episode I Racer,N64,NA,2.31
Personal Trainer: Cooking,DS,NA,0.91
The Elder Scrolls IV: Oblivion,PS3,NA,1.69
Dragon Warrior IV,NES,NA,0.08
Heavy Rain,PS3,NA,1.29
Mass Effect 2,X360,NA,1.99
FIFA 15,X360,NA,0.78
Dragon Ball Z: Budokai,PS2,NA,2.17
Madden NFL 2002,PS2,NA,2.5
World Class Track Meet,NES,NA,1.92
Borderlands 2,X360,NA,1.89
The Legend of Zelda: A Link Between Worlds,3DS,NA,1.4
Donkey Kong,GB,NA,1.57
The Sims: Vacation,PC,NA,1.72
Mass Effect 3,X360,NA,1.94
Kung Fu Panda,X360,NA,1.91
Far Cry 3,X360,NA,1.38
Epic Mickey,Wii,NA,2.06
Saints Row 2,X360,NA,1.94
Rayman,PS,NA,1.54
Killzone 2,PS3,NA,1.4
Tom Clancy's Splinter Cell,XB,NA,1.85
Mike Tyson's Punch-Out!!,NES,NA,2.03
WWE SmackDown! Shut Your Mouth,PS2,NA,1.45
Gears of War: Ultimate Edition,XOne,NA,2.38
NBA 2K13,X360,NA,2.6
Dragon Ball Z: Budokai Tenkaichi 3,PS2,NA,1.15
Middle-Earth: Shadow of Mordor,PS4,NA,1.01
Star Fox,SNES,NA,1.61
The Sims: Livin Large,PC,NA,1.67
World Soccer Winning Eleven 6 International,PS2,NA,0.12
Devil May Cry,PS2,NA,1.36
Animal Crossing: Happy Home Designer,3DS,NA,0.47
Battlefield: Bad Company 2,PS3,NA,1.33
The Sims 4,PC,NA,0.96
Star Wars: The Old Republic,PC,NA,1.58
Sonic Heroes,PS2,NA,1.04
Kirby Super Star Ultra,DS,NA,1.57
Hitman 2: Silent Assassin,PS2,NA,1.36
Street Fighter IV,X360,NA,1.82
Wave Race 64,N64,NA,1.98
SOCOM II: U.S. Navy SEALs,PS2,NA,2.22
WWE SmackDown! vs. RAW 2006,PS2,NA,1.45
inFAMOUS,PS3,NA,1.76
Pac-Man Collection,GBA,NA,2.07
Mass Effect,X360,NA,1.83
WarioWare: Smooth Moves,Wii,NA,0.87
Cooking Mama: Cook Off,Wii,NA,1.43
Super Mario World 2: Yoshi's Island,GBA,NA,1.75
FIFA 14,PS4,NA,0.61
Titanfall,XOne,NA,1.84
Sonic Mega Collection Plus,PS2,NA,1.54
Sega Superstars Tennis,X360,NA,1.75
World Soccer Winning Eleven 7 International,PS2,NA,0.08
Need for Speed: Most Wanted,PS3,NA,0.71
Hot Shots Golf 3,PS2,NA,0.99
Call of Duty: Finest Hour,PS2,NA,1.51
Zumba Fitness 2,Wii,NA,1.54
Syphon Filter,PS,NA,2.03
Imagine: Babyz,DS,NA,1.3
Colin McRae Rally,PS,NA,0.09
Call of Duty: Ghosts,XOne,NA,1.87
Madden NFL 13,X360,NA,2.53
The Elder Scrolls III: Morrowind,XB,NA,2.09
Mortal Kombat,PS3,NA,1.98
F-Zero,SNES,NA,1.37
Yoshi's Story,N64,NA,1.29
Command & Conquer: Red Alert,PC,NA,1.37
Skylanders: Spyro's Adventure,Wii,NA,1.4
FIFA 16,PS3,NA,0.4
Assassin's Creed: Brotherhood,PS3,NA,1.87
BioShock,X360,NA,1.65
Madden NFL 10,X360,NA,2.52
Medal of Honor,PS3,NA,1.28
WWE SmackDown! vs. Raw,PS2,NA,1.32
Metroid Prime,GC,NA,1.96
Finding Nemo,GBA,NA,1.59
Myst,PC,NA,0.02
Need for Speed: Hot Pursuit,PS3,NA,1.05
Imagine: Fashion Designer,DS,NA,1.32
WWE SmackDown! Here Comes the Pain,PS2,NA,1.32
Star Wars: The Force Unleashed,X360,NA,1.74
Yoshi's Island DS,DS,NA,1.47
Hot Shots Golf,PS,NA,0.29
Killzone 3,PS3,NA,1.45
A Bug's Life,PS,NA,1.96
WWF SmackDown! Just Bring It,PS2,NA,1.19
Mortal Kombat Trilogy,PS,NA,1.98
Battlefield 3,PC,NA,0.89
NBA Street,PS2,NA,2.19
Professor Layton and the Last Specter,DS,NA,0.3
Monster Hunter Tri,3DS,NA,0.46
Jak II,PS2,NA,1.68
inFAMOUS: Second Son,PS4,NA,1.27
Ratchet & Clank: Going Commando,PS2,NA,1.44
Tekken 6,PS3,NA,1.2
The Sims,PS2,NA,1.41
Sonic and the Secret Rings,Wii,NA,1.24
Saints Row: The Third,X360,NA,1.25
Missile Command,2600,NA,2.56
Mario Paint,SNES,NA,1.43
Assassin's Creed IV: Black Flag,PS4,NA,1.07
Pokémon Stadium 2,N64,NA,1.02
Metroid,NES,NA,1.33
L.A. Noire,X360,NA,1.52
Call of Duty 3,X360,NA,1.49
The Legend of Zelda: A Link to the Past,GBA,NA,1.75
Onimusha: Warlords,PS2,NA,0.99
Mortal Kombat X,PS4,NA,1.47
Mario Party,N64,NA,1.25
Madden NFL 12,X360,NA,2.42
LEGO Star Wars II: The Original Trilogy,PS2,NA,1.85
Madden NFL 11,X360,NA,2.38
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,NA,1.63
Skate 3,X360,NA,1.46
Burnout 3: Takedown,PS2,NA,1.23
Need for Speed: Shift,PS3,NA,0.69
Final Fantasy XIII-2,PS3,NA,0.78
Mortal Kombat,GEN,NA,1.95
Call Of Duty 2: Big Red One,PS2,NA,1.48
Guitar Hero: World Tour,X360,NA,1.78
Medal of Honor,PS,NA,1.44
Fable,XB,NA,1.99
Hannah Montana,DS,NA,1.59
Tom Clancy's Splinter Cell,PS2,NA,1.15
Skylanders Giants,Wii,NA,1.56
Medal of Honor Heroes,PSP,NA,0.86
Star Wars: Shadows of the Empire,N64,NA,2.0
LEGO Star Wars: The Complete Saga,X360,NA,1.53
Midnight Club: Street Racing,PS2,NA,2.0
Pac-Man: Adventures in Time,PSP,NA,0.76
Halo Wars,X360,NA,1.53
God of War Collection,PS3,NA,1.7
ESPN NFL 2K5,PS2,NA,2.15
Mario Strikers Charged,Wii,NA,1.07
Medal of Honor,X360,NA,1.55
FIFA Soccer 10,X360,NA,0.59
NBA 2K12,X360,NA,2.31
Style Savvy,DS,NA,0.63
Harry Potter and the Chamber of Secrets,PS2,NA,0.9
Super Mario All-Stars: Limited Edition,Wii,NA,1.02
Streets of Rage,GEN,NA,1.86
FIFA Soccer 09,PS3,NA,0.48
Ratchet & Clank Future: Tools of Destruction,PS3,NA,0.93
NBA Live 2005,PS2,NA,2.03
LittleBigPlanet,PSP,NA,0.64
Killzone: Shadow Fall,PS4,NA,0.89
Ghostbusters: The Video Game (DS Version),X360,NA,1.04
Monster Hunter Freedom 2,PSP,NA,0.37
WWE SmackDown vs. RAW 2007,PS2,NA,1.4
Ratchet & Clank: Up Your Arsenal,PS2,NA,1.31
Art Academy,DS,NA,0.28
Dragon Age: Origins,X360,NA,1.76
Madden NFL 08,PS2,NA,2.14
Sonic Adventure 2 Battle,GC,NA,1.7
Dragon Warrior II,NES,NA,0.15
Madden NFL 13,PS3,NA,2.11
Pokémon Colosseum,GC,NA,1.21
Deca Sports,Wii,NA,1.13
Madden NFL 09,X360,NA,2.21
Crazy Taxi,PS2,NA,1.13
Perfect Dark,N64,NA,1.55
Game Party,Wii,NA,1.5
Dragon Warrior,NES,NA,0.49
Tomb Raider (2013),PS3,NA,0.6
Marvel: Ultimate Alliance,X360,NA,2.29
PES 2009: Pro Evolution Soccer,PS2,NA,0.13
Mario Party 2,N64,NA,1.28
Saints Row: The Third,PS3,NA,0.86
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,NA,1.84
LEGO Harry Potter: Years 1-4,Wii,NA,1.29
Mortal Kombat: Deadly Alliance,PS2,NA,1.81
Resistance 2,PS3,NA,1.15
Pure,X360,NA,1.38
Tomb Raider: The Last Revelation,PS,NA,1.15
NBA 2K13,PS3,NA,1.72
NBA 2K14,X360,NA,2.1
Mario Party 4,GC,NA,1.13
uDraw Studio,Wii,NA,1.67
Midnight Club: Los Angeles,PS3,NA,1.55
Final Fantasy Tactics,PS,NA,0.93
Twisted Metal 2,PS,NA,2.12
Halo: Combat Evolved Anniversary,X360,NA,1.44
Need for Speed Carbon: Own the City,PSP,NA,0.87
The Sims: Bustin' Out,PS2,NA,1.07
