game_title,score,source
The Sims 3,7.8,Reed-Hudson
GoldenEye 007,9.5,Saunders-Moore
Mario & Sonic at the Olympic Games,6.5,"Alvarado, Johnson and Francis"
Final Fantasy X,5.8,"Dougherty, Ryan and Francis"
Final Fantasy VIII,6.4,Phillips-Daniels
Pokémon Platinum Version,9.4,Hanson and Sons
Pac-Man,7.1,"Schneider, Garrett and Davis"
Grand Theft Auto: Liberty City Stories,9.7,Simon Group
Super Mario Galaxy 2,7.7,Duncan-Johnston
Star Wars Battlefront (2015),9.9,Shepard PLC
Call of Duty: Advanced Warfare,9.3,Moore-Taylor
The Legend of Zelda: Ocarina of Time,8.6,"Francis, Porter and Watkins"
Crash Bandicoot 2: Cortex Strikes Back,5.6,Shepherd-Bautista
Super Mario Bros. 2,6.0,"Garcia, Williams and Owens"
Super Smash Bros. for Wii U and 3DS,6.8,"Benton, Raymond and Douglas"
Call of Duty: World at War,9.9,"Hill, Vaughn and Dougherty"
Battlefield 3,6.0,"Wilson, Hood and Powell"
The Legend of Zelda: Twilight Princess,6.3,Brown Ltd
Just Dance,6.0,"Allen, Pineda and Davis"
Need for Speed Underground,9.4,Hood-Keller
Tekken 3,5.9,Hogan-Moreno
Crash Bandicoot 3: Warped,8.2,Caldwell Ltd
Super Smash Bros. Melee,7.2,Harris-Watts
Mario Kart 8,8.5,Garcia PLC
Fallout 4,9.1,"Fox, Stanton and Martinez"
Mario Kart: Double Dash!!,7.4,Smith Ltd
Just Dance 4,6.3,Solis PLC
FIFA 14,6.5,Moyer Ltd
Need for Speed Underground 2,9.4,"Cole, Hines and Allen"
Medal of Honor: Frontline,6.0,Wright-King
Uncharted 3: Drake's Deception,6.3,"Rivas, Peterson and Herrera"
Crash Bandicoot,7.5,York-Cooper
Zumba Fitness,6.0,Vance-Kelley
Gears of War 2,6.6,Frank-Meyer
Uncharted 2: Among Thieves,7.2,Ramirez-Trevino
FIFA 12,7.4,Roberts-King
Big Brain Academy,7.8,Guzman-Hernandez
Red Dead Redemption,6.6,Scott Group
FIFA 15,8.8,Richardson-Murphy
Donkey Kong Country Returns,8.3,Sexton LLC
The Legend of Zelda,7.8,"Bennett, Wallace and Gibson"
Assassin's Creed III,5.7,Klein Group
Halo: Combat Evolved,9.7,"Smith, Moore and Brown"
Pokémon Emerald Version,8.3,Moss PLC
Kingdom Hearts,9.2,"Bennett, Benson and Wall"
Pokémon Crystal Version,5.0,Hoffman and Sons
Halo 3: ODST,7.2,"Miller, Lamb and Barnes"
Super Mario Sunshine,9.0,"Dean, Lucas and Riley"
Street Fighter II: The World Warrior,8.3,Moore PLC
World of Warcraft,5.5,"Morgan, Vasquez and Farmer"
Driver,5.4,"Smith, Walker and Gray"
Kinect Sports,9.2,Weaver Inc
Gears of War 3,9.0,"Wilson, Maxwell and White"
Gears of War,8.3,Flores-Decker
Metal Gear Solid 2: Sons of Liberty,6.8,Martin-Harris
Sonic the Hedgehog 2,5.0,Montgomery-King
Metal Gear Solid 4: Guns of the Patriots,7.0,Turner-Brown
Metal Gear Solid,5.7,"Todd, Valenzuela and Hudson"
The Last of Us,5.8,Ryan Inc
Final Fantasy XII,6.7,Mccormick Ltd
LittleBigPlanet,7.5,Baker-Dunn
Dragon Quest IX: Sentinels of the Starry Skies,9.7,"Manning, Hernandez and Garcia"
LEGO Star Wars: The Complete Saga,5.6,"Walton, Stout and Hernandez"
Resident Evil 2,7.3,"Lee, Wolfe and Johnson"
Tekken 2,8.4,"Miller, Novak and Schneider"
Cooking Mama,9.9,Gomez PLC
Destiny,9.4,"Perry, Carpenter and Kim"
Assassin's Creed II,6.2,"Fitzpatrick, Torres and Mccoy"
Super Smash Bros.,5.7,Romero PLC
Assassin's Creed,5.5,Barry Inc
Batman: Arkham City,7.4,Perez Group
Forza Motorsport 3,6.7,Ramos PLC
Monster Hunter Freedom Unite,9.4,"Hunter, Hernandez and Dawson"
Super Mario Advance,9.8,Flores and Sons
Mario Kart: Super Circuit,7.7,"Smith, Marquez and Oneill"
Pokemon Stadium,8.3,"Wade, Mcmillan and Gonzales"
Crash Bandicoot: The Wrath of Cortex,6.6,Dominguez LLC
Final Fantasy XIII,8.0,Ramsey PLC
Dr. Mario,8.5,Valencia-Gentry
Pokemon Pinball,6.6,"Taylor, Jacobs and Lin"
Final Fantasy IX,8.3,"Nunez, Gonzales and Allen"
Final Fantasy X-2,6.8,Johnson-Robertson
Donkey Kong 64,8.5,Johnson-Hall
Professor Layton and the Curious Village,5.1,Brooks and Sons
Tomb Raider II,7.6,Gallegos-Vazquez
Madden NFL 2004,9.9,Smith-Bowers
Dragon Quest VIII: Journey of the Cursed King,6.5,Alexander Group
Diablo III,6.2,Jones-Burns
New Super Mario Bros. U,6.5,Evans Group
Super Mario Land 3: Wario Land,8.1,Lewis PLC
The Legend of Zelda: Phantom Hourglass,5.1,Gordon PLC
Donkey Kong Country 2: Diddy's Kong Quest,7.6,Carpenter-Potts
Tomodachi Life,8.9,Gonzalez Inc
Medal of Honor: Rising Sun,9.7,Kennedy Group
Kirby's Dream Land,5.2,Harris Inc
Fable III,8.0,"Myers, Richardson and Smith"
Microsoft Flight Simulator,5.2,"Williams, Atkinson and Martin"
Guitar Hero II,7.1,Craig-Rose
Resident Evil 5,5.2,Melton Group
Grand Theft Auto: Vice City Stories,9.2,Stone Group
FIFA Soccer 11,6.1,Williams Inc
Resident Evil,7.8,Mason Inc
Tony Hawk's Pro Skater,9.6,Richardson Group
Warzone 2100,8.3,Bennett-Randall
Spyro the Dragon,5.3,"Thomas, Kirby and Turner"
Link's Crossbow Training,9.1,Hale-Miller
Guitar Hero III: Legends of Rock,5.3,Mora Inc
Fallout 3,5.5,Adams-Davis
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,9.0,"Johnson, Fitzgerald and Castro"
Uncharted: Drake's Fortune,5.3,Ramirez-Powell
Madden NFL 06,9.2,"Allen, Barton and Ward"
Diddy Kong Racing,9.6,"Robbins, Underwood and Santos"
Monster Hunter Freedom 3,7.1,Reed-Mann
God of War III,5.1,"Lopez, Morales and Martin"
StarCraft II: Wings of Liberty,8.5,Allen-Garcia
Crash Team Racing,6.2,Strickland Ltd
FIFA 17,8.0,"Herrera, Gray and White"
Driver 2,6.5,Schultz-Miller
The Simpsons: Hit & Run,5.2,Jones-Wright
Tony Hawk's Pro Skater 2,9.2,Mooney-Lee
Animal Crossing: City Folk,9.8,Frederick-Brown
The Lord of the Rings: The Two Towers,6.2,Webb PLC
Forza Motorsport 4,8.2,Lane and Sons
Tomb Raider,7.3,"Anderson, Robinson and Love"
The Legend of Zelda: A Link to the Past,5.3,"Nguyen, Fox and Harris"
The Legend of Zelda: The Wind Waker,7.3,Fitzgerald Ltd
Mario & Sonic at the Olympic Winter Games,5.8,Beck-Holt
Luigi's Mansion: Dark Moon,8.0,Huang PLC
Splatoon,7.9,Johnson-Glenn
Madden NFL 2005,6.3,"Newman, Osborn and Patterson"
Pitfall!,8.5,Castillo-Turner
Madden NFL 07,8.6,Rogers and Sons
Spider-Man: The Movie,6.3,"Henderson, Briggs and Callahan"
Dragon Quest VII: Warriors of Eden,6.0,Singleton LLC
Uncharted: The Nathan Drake Collection,6.4,Chavez-Cole
God of War,7.5,Chapman-Pruitt
Nintendo Land,5.8,"Pope, Smith and Nelson"
Michael Jackson: The Experience,7.7,Powell LLC
Tony Hawk's Pro Skater 3,5.8,Foster-Romero
Winning Eleven: Pro Evolution Soccer 2007,5.1,"Norton, Rodriguez and White"
The Elder Scrolls IV: Oblivion,5.8,"Cook, Cobb and May"
Zelda II: The Adventure of Link,7.4,"Miller, Smith and Pena"
Need for Speed: Most Wanted,9.0,Turner-Lopez
Resistance: Fall of Man,8.5,"Brown, James and Henry"
Sonic the Hedgehog,9.2,Mathis-Campbell
Kingdom Hearts II,6.1,Bennett PLC
Asteroids,9.9,"Gonzalez, Crane and Gibson"
Fable II,8.7,"Higgins, Miller and Christian"
Halo 5: Guardians,9.4,Wood PLC
Super Mario 3D World,8.2,Simmons-Hamilton
Batman: Arkham Asylum,6.2,Wolf PLC
Assassin's Creed: Revelations,7.8,Johnson-Ellis
Namco Museum,5.4,Myers Inc
Metal Gear Solid 3: Snake Eater,8.3,Mack-Gonzalez
Daxter,5.2,Pollard-Nelson
Warcraft II: Tides of Darkness,5.6,Humphrey Ltd
FIFA Soccer 06,7.7,"Henderson, Delgado and Rodriguez"
EyeToy Play,5.7,Kennedy-Pierce
Uncharted 4: A Thief's End,5.7,Garcia-Aguirre
Gran Turismo 5 Prologue,9.7,Campbell Group
Street Fighter IV,8.1,White-Casey
Teenage Mutant Ninja Turtles,6.6,Martinez-Dickerson
Excitebike,9.7,Jackson Group
Frogger,7.8,Smith-Matthews
Madden NFL 2003,6.6,Johnson Group
Watch Dogs,7.2,Coleman-Evans
Half-Life,7.1,King-Stewart
Super Mario World 2: Yoshi's Island,9.9,"Delgado, Hernandez and Cochran"
FIFA Soccer 07,7.3,Aguilar-Braun
The Legend of Zelda: Skyward Sword,9.0,Johnson and Sons
Street Fighter II Turbo,9.1,"Reed, Gallegos and Romero"
Carnival Games,5.0,"Conway, Gutierrez and Rose"
World of Warcraft: The Burning Crusade,6.3,Combs LLC
Fallout: New Vegas,8.4,Powell Ltd
God of War II,10.0,"Pham, Holmes and Wright"
Forza Motorsport 2,9.3,Ramos-Villanueva
World Soccer Winning Eleven 9,9.9,Kennedy PLC
Namco Museum Vol.3,6.4,Carey-Blackwell
Tekken Tag Tournament,9.4,Rivera Inc
Far Cry 4,5.5,"Carlson, Stewart and Clark"
Star Fox 64,6.1,Jackson-Gutierrez
Golf,8.8,Hamilton-Olson
Professor Layton and the Diabolical Box,9.6,Martinez Group
Left 4 Dead 2,6.1,Waller LLC
Namco Museum: 50th Anniversary,7.8,"Gutierrez, Davis and Johnson"
EA Sports Active,5.6,Sims and Sons
Assassin's Creed: Unity,6.1,Pena Inc
Donkey Kong Land,5.8,Williams PLC
Tony Hawk's Underground,5.1,"Oconnell, Morton and Acosta"
Assassin's Creed IV: Black Flag,5.8,Berger-Ford
Monster Hunter 4 Ultimate,5.0,Anderson Group
MotorStorm,8.4,"Terrell, Thomas and Clarke"
Tekken 5,9.8,Mata Ltd
Dragon Warrior III,6.8,"Griffin, Henry and Mendez"
Sports Champions,6.7,Byrd PLC
NBA 2K16,6.0,Allison-Torres
World Soccer Winning Eleven 8 International,5.2,Myers LLC
Flash Focus: Vision Training in Minutes a Day,5.3,Mccall and Sons
Namco Museum Vol.1,7.1,Cunningham Inc
The Legend of Zelda: Link's Awakening,7.0,Hicks-Morse
Mario & Luigi: Bowser's Inside Story,9.4,Martin Inc
Big Brain Academy: Wii Degree,6.9,Jenkins-Bruce
Nintendogs + cats,8.7,"Riley, Andrews and Smith"
Batman: Arkham Knight,6.2,"Blake, Moore and Zimmerman"
Mario & Sonic at the London 2012 Olympic Games,8.0,Brown-Webb
LEGO Indiana Jones: The Original Adventures,7.4,Jensen-Walker
Resident Evil Director's Cut,5.3,Bryant Inc
Ratchet & Clank: Size Matters,6.1,Stevens Group
Just Dance 2014,5.4,Snyder Ltd
The Sims: Unleashed,7.0,"James, Bates and Nichols"
Super Paper Mario,6.6,Davenport Group
Harry Potter and the Sorcerer's Stone,9.3,Conley LLC
The Witcher 3: Wild Hunt,9.2,"Holmes, Payne and Dennis"
Resident Evil 3: Nemesis,8.3,Johns and Sons
Spyro: Year of the Dragon,8.4,"Petersen, Smith and Grant"
FIFA Soccer 2005,7.6,Lee Group
Pokémon Trading Card Game,5.1,Cooley Ltd
Battlefield 4,9.5,Waters Group
MySims,5.8,Roth Inc
Friend Collection,8.6,Eaton-Barber
Tony Hawk's Pro Skater 4,6.9,"Bennett, Porter and Patel"
Midnight Club 3: DUB Edition,7.1,"Monroe, Long and Weeks"
Banjo-Kazooie,6.0,Pratt Ltd
SOCOM: U.S. Navy SEALs,9.9,"Jenkins, Foster and Mendoza"
Guitar Hero: World Tour,9.2,Bridges-Cowan
Gran Turismo 6,9.1,"Hogan, Calhoun and Melendez"
Jak and Daxter: The Precursor Legacy,9.7,Jordan-Humphrey
Pokemon Snap,9.1,Ford-Leon
FIFA Soccer 10,9.2,Armstrong PLC
Pro Evolution Soccer 2008,7.8,Mcgrath-King
Resident Evil 4,5.5,"Fisher, Malone and Wong"
Tom Clancy's The Division,7.5,Bowers Inc
Star Wars: Battlefront,6.9,Farrell Ltd
Doom II: Hell on Earth,5.1,Colon Group
The Simpsons: Road Rage,8.7,Collins-Johns
Cooking Mama 2: Dinner With Friends,8.0,Flores LLC
Luigi's Mansion,7.8,Collins LLC
Star Wars: Battlefront II,8.3,"Russell, Lewis and Woods"
WWF SmackDown!,9.4,Savage-Shea
Croc: Legend of the Gobbos,8.9,Smith PLC
The Getaway,9.5,"Newton, Martin and Munoz"
Tomb Raider III: Adventures of Lara Croft,7.1,Flores-Lutz
James Bond 007: Agent Under Fire,5.7,Williams and Sons
LEGO Star Wars: The Video Game,7.8,Sims PLC
Rugrats in Paris: The Movie,5.4,"Lee, Brown and Munoz"
Spyro 2: Ripto's Rage!,9.2,Shannon Inc
Left 4 Dead,6.7,Lowe PLC
Donkey Kong Country 3: Dixie Kong's Double Trouble!,8.1,Robinson Group
Assassin's Creed: Brotherhood,5.1,"Cuevas, Hooper and Parsons"
Kung Fu,5.5,Reynolds-Armstrong
Clubhouse Games,7.9,Smith Ltd
FIFA Soccer 2004,7.1,Thompson-Johnson
Battlefield: Bad Company 2,6.7,Diaz-Frazier
Guitar Hero: On Tour,6.4,Reynolds-Romero
Far Cry 3,6.1,Mcdonald-Gutierrez
Monster Hunter 4,6.0,Fernandez Inc
Borderlands,6.8,Baker Group
Tekken 4,7.5,"West, Mccoy and Barnes"
LittleBigPlanet 2,7.3,"Vaughn, Velasquez and Ray"
Grand Theft Auto 2,6.8,Harrison LLC
Final Fantasy III,5.3,Robinson-Collins
Spider-Man 2,5.5,Summers-Mercer
F-1 Race,6.6,"Olson, Boyle and Gomez"
FIFA Soccer 2003,7.4,Stewart PLC
Crash Bash,5.7,Martin-Contreras
LEGO Batman: The Videogame,5.5,Moore-Lopez
Metal Gear Solid V: The Phantom Pain,9.0,Hodge-Stewart
The Legend of Zelda: Spirit Tracks,5.9,Wong and Sons
WWF War Zone,6.2,"Mcclure, Jensen and Moore"
The Legend of Zelda: Majora's Mask,8.7,"Garcia, Reyes and Lawson"
Professor Layton and the Unwound Future,5.8,"Mcgrath, Mclean and Morgan"
Rugrats: Search For Reptar,5.4,"Riley, Lee and Liu"
English Training: Have Fun Improving Your Skills!,8.6,Wilson-Conley
James Bond 007: Nightfire,8.5,"Martinez, Jones and Jones"
Ratchet & Clank,6.2,Gardner-Jones
Mario Party 9,7.6,Nguyen-Torres
Star Wars Episode III: Revenge of the Sith,9.5,"Smith, Campbell and Allen"
Max Payne,7.6,Leonard PLC
The Lord of the Rings: The Return of the King,6.9,"Cain, House and Bates"
Assassin's Creed Syndicate,6.6,Stone Group
True Crime: Streets of LA,8.8,Bentley PLC
Wii Music,8.5,"Kelley, Garrett and Smith"
Gran Turismo (PSP),5.1,"Alvarez, Santiago and Kelley"
Monster Hunter X,5.1,"English, Garcia and Clay"
Tekken,7.6,Adams-Mclaughlin
L.A. Noire,8.4,Miller-Cross
Madden NFL 16,7.0,Weiss-Austin
Yokai Watch 2 Ganso/Honke,9.5,"Dawson, Robertson and Lopez"
007: Tomorrow Never Dies,8.4,"Lucas, Anderson and Thompson"
Baseball,6.8,Mendoza-Christian
Killer Instinct,7.4,Taylor-Taylor
WWF SmackDown! 2: Know Your Role,6.5,Sweeney-Zamora
Crisis Core: Final Fantasy VII,7.2,Williams-Rice
God of War: Chains of Olympus,9.6,Thomas-Murray
Dragon Quest VI: Maboroshi no Daichi,6.1,Gillespie-Martin
Dance Central,5.3,"Stevenson, Wong and Luna"
Enter the Matrix,8.5,Burns PLC
Super Mario Maker,7.2,Williams-Campbell
Rhythm Heaven,5.2,Meyer-Jenkins
Ace Combat 04: Shattered Skies,7.6,Browning LLC
Club Penguin: Elite Penguin Force,10.0,"Green, Todd and Cervantes"
Animal Crossing,5.5,Oconnor-Pham
Sonic Rush,6.5,Dudley-Rodriguez
Resident Evil 6,8.2,"Pineda, Jones and Molina"
Halo: The Master Chief Collection,7.2,Elliott-Peterson
FIFA Soccer 08,9.9,Ford LLC
Spider-Man,7.7,Koch-Fisher
Need for Speed III: Hot Pursuit,10.0,"Wise, Johnson and Diaz"
Star Wars Episode I Racer,6.7,"Blake, Lopez and Jackson"
Personal Trainer: Cooking,5.3,"Reynolds, Edwards and Fisher"
Dragon Warrior IV,9.2,Scott-Aguilar
Heavy Rain,7.5,Lang PLC
Mass Effect 2,7.9,"Perez, Brown and Rosario"
Dragon Ball Z: Budokai,5.8,Ross Group
Madden NFL 2002,7.4,Bowers-Smith
World Class Track Meet,8.0,Rodriguez-Joseph
Borderlands 2,9.8,Johnson-Perez
The Legend of Zelda: A Link Between Worlds,7.6,Moreno Ltd
Donkey Kong,8.8,Silva PLC
The Sims: Vacation,9.1,Kennedy-Carey
Mass Effect 3,9.7,White-Proctor
Kung Fu Panda,7.3,"Morris, Davis and Jacobs"
Epic Mickey,8.0,"Parrish, Turner and Bailey"
Saints Row 2,9.5,Nelson LLC
Rayman,9.0,Donaldson Inc
Killzone 2,5.4,Hernandez LLC
Tom Clancy's Splinter Cell,8.6,Aguilar PLC
Mike Tyson's Punch-Out!!,5.9,Arellano and Sons
WWE SmackDown! Shut Your Mouth,7.8,Lopez Group
Gears of War: Ultimate Edition,6.4,Thompson Group
NBA 2K13,8.2,Yang-Reynolds
Dragon Ball Z: Budokai Tenkaichi 3,7.4,"Johnson, Hoover and Craig"
wwe Smackdown vs. Raw 2006,5.1,Perez and Sons
Middle-Earth: Shadow of Mordor,8.6,Clark and Sons
Star Fox,7.7,Smith PLC
The Sims: Livin Large,7.3,"Shelton, Turner and Leon"
World Soccer Winning Eleven 6 International,9.8,"Mitchell, Miller and Richardson"
Devil May Cry,7.3,"Baker, Stevenson and Wolf"
Animal Crossing: Happy Home Designer,5.7,"Evans, Howard and Thompson"
The Sims 4,8.4,Johnson-Wolfe
Star Wars: The Old Republic,8.6,Barnett and Sons
Sonic Heroes,6.8,"Mcintosh, Benson and Erickson"
Kirby Super Star Ultra,7.8,"Rich, Mcmillan and Murphy"
Hitman 2: Silent Assassin,6.6,Norris Inc
Wave Race 64,9.0,"Middleton, Gibson and Jackson"
SOCOM II: U.S. Navy SEALs,5.0,Martinez-Hansen
WWE SmackDown! vs. RAW 2006,5.0,Faulkner-Allen
inFAMOUS,8.7,"Miller, Swanson and Bailey"
Pac-Man Collection,5.8,"King, Le and Williams"
Mass Effect,6.9,Vargas-Hendricks
WarioWare: Smooth Moves,9.5,Weber Ltd
Cooking Mama: Cook Off,6.8,Flynn PLC
Titanfall,5.2,Clark-Wilkins
Sonic Mega Collection Plus,9.0,Curry-Rich
Sega Superstars Tennis,8.2,Bailey-Boyd
World Soccer Winning Eleven 7 International,9.9,Smith and Sons
Hot Shots Golf 3,7.9,Wallace and Sons
Call of Duty: Finest Hour,5.2,Pineda-Bates
Zumba Fitness 2,5.7,Gilbert PLC
Syphon Filter,10.0,Wallace-Sanchez
Imagine: Babyz,5.8,Gardner-Phillips
Colin McRae Rally,6.1,"Lambert, Vaughn and Fleming"
Madden NFL 13,7.6,"Powell, Hunt and Doyle"
The Elder Scrolls III: Morrowind,6.1,Bolton-Castillo
Mortal Kombat,7.8,Santos LLC
F-Zero,8.7,Maldonado-Christian
Yoshi's Story,6.5,Miller-Garcia
Command & Conquer: Red Alert,7.4,"Wiggins, Schwartz and Townsend"
Skylanders: Spyro's Adventure,8.4,"Cuevas, Kelley and Alvarado"
BioShock,7.6,"Shepard, Mack and Smith"
Madden NFL 10,7.2,"Collins, Butler and Montgomery"
Medal of Honor,9.6,"Craig, Mcguire and Atkinson"
WWE SmackDown! vs. Raw,9.7,Mann and Sons
Metroid Prime,9.4,Chen Ltd
Finding Nemo,6.2,"Green, Martinez and Hawkins"
Myst,5.2,Martin-Harmon
Need for Speed: Hot Pursuit,7.1,Harrington Group
Imagine: Fashion Designer,9.2,Bass and Sons
WWE SmackDown! Here Comes the Pain,9.4,Luna LLC
Star Wars: The Force Unleashed,8.0,Kirk-Garcia
Yoshi's Island DS,6.2,Reynolds LLC
Hot Shots Golf,6.8,"Neal, Long and Brown"
Killzone 3,7.3,Keith LLC
A Bug's Life,9.3,Norton LLC
WWF SmackDown! Just Bring It,6.8,Moody-Ferguson
Dragon Quest V: Tenkuu no Hanayome,5.5,Jordan LLC
Mortal Kombat Trilogy,6.3,King-Nguyen
NBA Street,7.5,"Nguyen, Benson and Mora"
Professor Layton and the Last Specter,6.0,Murray LLC
Monster Hunter Tri,5.1,Mcdonald Group
Jak II,6.2,Montgomery LLC
inFAMOUS: Second Son,9.2,"Liu, Hunter and Davis"
Ratchet & Clank: Going Commando,5.8,Jackson-Reed
Tekken 6,9.6,"Carlson, Torres and Shaffer"
The Sims,8.7,"Davenport, Sims and Parker"
Sonic and the Secret Rings,6.8,"Frost, Ramirez and Williams"
Saints Row: The Third,9.8,Mitchell PLC
Missile Command,7.2,"Quinn, Thompson and Haney"
Mario Paint,5.7,Moody-Medina
Pokémon Stadium 2,5.7,"Becker, Smith and Bailey"
Metroid,5.2,Powell-Henderson
Call of Duty 3,8.8,Rivera Group
Onimusha: Warlords,8.8,Gilbert and Sons
Mortal Kombat X,5.7,"Knox, Walker and Harmon"
Mario Party,5.5,"Doyle, Acosta and Caldwell"
Madden NFL 12,8.1,Harris Ltd
LEGO Star Wars II: The Original Trilogy,9.2,"Pollard, Brady and Wood"
Madden NFL 11,5.5,Tran-Rosales
Mario vs. Donkey Kong: Mini-Land Mayhem!,9.0,Davis-Kelley
Skate 3,8.1,"Morris, Robinson and Jackson"
Burnout 3: Takedown,5.4,Nguyen Group
Yokai Watch 2 Shinuchi,5.1,Lara Ltd
Need for Speed: Shift,8.7,Heath Ltd
Final Fantasy XIII-2,8.1,"Hamilton, Jones and Evans"
Call Of Duty 2: Big Red One,8.4,Lane Inc
Fable,7.6,Munoz Ltd
Hannah Montana,6.9,Hopkins LLC
Skylanders Giants,7.9,Foster Group
Medal of Honor Heroes,7.4,Owen-Smith
Super Mario Bros.: The Lost Levels,5.7,Burnett Inc
Star Wars: Shadows of the Empire,7.1,Bailey-Anderson
Midnight Club: Street Racing,9.0,Lopez-Taylor
Pac-Man: Adventures in Time,5.0,"English, Lopez and King"
Halo Wars,7.8,Waller and Sons
God of War Collection,9.0,Franklin-Mccormick
ESPN NFL 2K5,8.7,Cooke-Adams
Mario Strikers Charged,9.4,"Watts, Aguilar and Green"
NBA 2K12,5.7,"Ruiz, Gibson and Wagner"
Style Savvy,6.5,"Wright, White and Nguyen"
Harry Potter and the Chamber of Secrets,8.0,"Munoz, Vazquez and Reyes"
Super Mario All-Stars: Limited Edition,6.5,Pace-Garcia
Streets of Rage,7.9,"Rice, Watson and Nixon"
FIFA Soccer 09,6.7,Torres-Nelson
Ratchet & Clank Future: Tools of Destruction,6.2,Stone and Sons
NBA Live 2005,8.3,Martinez-Shaffer
Killzone: Shadow Fall,7.3,Garcia and Sons
Ghostbusters: The Video Game (DS Version),7.7,"Irwin, Savage and Clayton"
Monster Hunter Freedom 2,7.4,Bell-Collins
WWE SmackDown vs. RAW 2007,5.2,Henderson-Hudson
Ratchet & Clank: Up Your Arsenal,6.9,Hill-Mann
Art Academy,6.2,Moses-Barnes
Dragon Age: Origins,5.5,Sparks-Mccoy
