title,publisher_name,genre_name,year
Gran Turismo 4,Sony Computer Entertainment,Racing,2004
Super Mario Galaxy,Nintendo,Platform,2007
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Nintendo,Role-Playing,2014
Super Mario Land 2: 6 Golden Coins,Nintendo,Adventure,1992
Grand Theft Auto IV,Take-Two Interactive,Action,2008
Gran Turismo,Sony Computer Entertainment,Racing,1997
Super Mario 3D Land,Nintendo,Platform,2011
Gran Turismo 5,Sony Computer Entertainment,Racing,2010
Super Mario All-Stars,Nintendo,Platform,1993
Pokemon FireRed/Pokemon LeafGreen,Nintendo,Role-Playing,2004
Super Mario 64,Nintendo,Platform,2004
Just Dance 3,Ubisoft,Misc,2011
Call of Duty: Ghosts,Activision,Shooter,2013
Halo: Reach,Microsoft Game Studios,Shooter,2010
Mario Kart 64,Nintendo,Racing,1996
New Super Mario Bros. 2,Nintendo,Platform,2012
Halo 4,Microsoft Game Studios,Shooter,2012
Final Fantasy VII,Sony Computer Entertainment,Role-Playing,1997
Just Dance 2,Ubisoft,Misc,2010
Gran Turismo 2,Sony Computer Entertainment,Racing,1999
Call of Duty 4: Modern Warfare,Activision,Shooter,2007
Donkey Kong Country,Nintendo,Platform,1994
Minecraft,Microsoft Game Studios,Misc,2013
Animal Crossing: New Leaf,Nintendo,Simulation,2012
Mario Party DS,Nintendo,Misc,2007
The Elder Scrolls V: Skyrim,Bethesda Softworks,Role-Playing,2011
Super Mario Kart,Nintendo,Racing,1992
FIFA 16,Electronic Arts,Sports,2015
Wii Party,Nintendo,Misc,2010
Halo 2,Microsoft Game Studios,Shooter,2004
Mario Party 8,Nintendo,Misc,2007
Pokemon Black 2/Pokemon White 2,Nintendo,Role-Playing,2012
FIFA Soccer 13,Electronic Arts,Action,2012
The Sims 3,Electronic Arts,Simulation,2009
GoldenEye 007,Nintendo,Shooter,1997
Mario & Sonic at the Olympic Games,Sega,Sports,2007
Final Fantasy X,Sony Computer Entertainment,Role-Playing,2001
Final Fantasy VIII,SquareSoft,Role-Playing,1999
Pokémon Platinum Version,Nintendo,Role-Playing,2008
Pac-Man,Atari,Puzzle,1982
Grand Theft Auto: Liberty City Stories,Take-Two Interactive,Action,2005
Super Mario Galaxy 2,Nintendo,Platform,2010
Star Wars Battlefront (2015),Electronic Arts,Shooter,2015
Call of Duty: Advanced Warfare,Activision,Shooter,2014
The Legend of Zelda: Ocarina of Time,Nintendo,Action,1998
Crash Bandicoot 2: Cortex Strikes Back,Sony Computer Entertainment,Platform,1997
Super Mario Bros. 2,Nintendo,Platform,1988
Super Smash Bros. for Wii U and 3DS,Nintendo,Fighting,2014
Call of Duty: World at War,Activision,Shooter,2008
Battlefield 3,Electronic Arts,Shooter,2011
The Legend of Zelda: Twilight Princess,Nintendo,Action,2006
Just Dance,Ubisoft,Misc,2009
Need for Speed Underground,Electronic Arts,Racing,2003
Tekken 3,Sony Computer Entertainment,Fighting,1998
Crash Bandicoot 3: Warped,Sony Computer Entertainment,Platform,1998
Super Smash Bros. Melee,Nintendo,Fighting,2001
Mario Kart 8,Nintendo,Racing,2014
Fallout 4,Bethesda Softworks,Role-Playing,2015
Mario Kart: Double Dash!!,Nintendo,Racing,2003
Just Dance 4,Ubisoft,Misc,2012
FIFA 14,Electronic Arts,Sports,2013
Need for Speed Underground 2,Electronic Arts,Racing,2004
Medal of Honor: Frontline,Electronic Arts,Shooter,2002
Uncharted 3: Drake's Deception,Sony Computer Entertainment,Action,2011
Crash Bandicoot,Sony Computer Entertainment,Platform,1996
Zumba Fitness,505 Games,Sports,2010
Gears of War 2,Microsoft Game Studios,Shooter,2008
Uncharted 2: Among Thieves,Sony Computer Entertainment,Action,2009
FIFA 12,Electronic Arts,Sports,2011
Big Brain Academy,Nintendo,Misc,2005
Red Dead Redemption,Take-Two Interactive,Action,2010
FIFA 15,Electronic Arts,Sports,2014
Donkey Kong Country Returns,Nintendo,Platform,2010
The Legend of Zelda,Nintendo,Action,1986
Assassin's Creed III,Ubisoft,Action,2012
Halo: Combat Evolved,Microsoft Game Studios,Shooter,2001
Pokémon Emerald Version,Nintendo,Role-Playing,2004
Kingdom Hearts,Sony Computer Entertainment,Role-Playing,2002
Pokémon Crystal Version,Nintendo,Role-Playing,2000
Halo 3: ODST,Microsoft Game Studios,Shooter,2009
Super Mario Sunshine,Nintendo,Platform,2002
Street Fighter II: The World Warrior,Capcom,Fighting,1992
World of Warcraft,Activision,Role-Playing,2004
Driver,GT Interactive,Action,1999
Kinect Sports,Microsoft Game Studios,Sports,2010
Gears of War 3,Microsoft Game Studios,Shooter,2011
Gears of War,Microsoft Game Studios,Shooter,2006
Metal Gear Solid 2: Sons of Liberty,Konami Digital Entertainment,Action,2001
Sonic the Hedgehog 2,Sega,Platform,1992
Metal Gear Solid 4: Guns of the Patriots,Konami Digital Entertainment,Action,2008
Metal Gear Solid,Konami Digital Entertainment,Action,1998
The Last of Us,Sony Computer Entertainment Europe,Action,2013
Final Fantasy XII,Square Enix,Role-Playing,2006
LittleBigPlanet,Sony Computer Entertainment,Platform,2008
Dragon Quest IX: Sentinels of the Starry Skies,Nintendo,Role-Playing,2009
LEGO Star Wars: The Complete Saga,LucasArts,Action,2007
Resident Evil 2,Virgin Interactive,Action,1998
Tekken 2,Sony Computer Entertainment,Fighting,1996
Cooking Mama,505 Games,Simulation,2006
Destiny,Activision,Shooter,2014
Tetris,Nintendo,Puzzle,1988
Assassin's Creed II,Ubisoft,Action,2009
Super Smash Bros.,Nintendo,Fighting,1999
Assassin's Creed,Ubisoft,Adventure,2007
Batman: Arkham City,Warner Bros. Interactive Entertainment,Action,2011
Forza Motorsport 3,Microsoft Game Studios,Racing,2009
Monster Hunter Freedom Unite,Capcom,Role-Playing,2008
Super Mario Advance,Nintendo,Platform,2001
Mario Kart: Super Circuit,Nintendo,Racing,2001
Super Mario World,Nintendo,Platform,2001
Pokemon Stadium,Nintendo,Strategy,1999
Crash Bandicoot: The Wrath of Cortex,Universal Interactive,Platform,2001
Minecraft,Sony Computer Entertainment,Misc,2014
Final Fantasy XIII,Square Enix,Role-Playing,2009
Dr. Mario,Nintendo,Puzzle,1989
Pokemon Pinball,Nintendo,Misc,1999
Final Fantasy IX,SquareSoft,Role-Playing,2000
Final Fantasy X-2,Electronic Arts,Role-Playing,2003
Donkey Kong 64,Nintendo,Platform,1999
Professor Layton and the Curious Village,Nintendo,Puzzle,2007
Tomb Raider II,Eidos Interactive,Action,1997
Dragon Quest VIII: Journey of the Cursed King,Square Enix,Role-Playing,2004
Diablo III,Activision,Role-Playing,2012
Super Mario Bros. 3,Nintendo,Platform,2003
New Super Mario Bros. U,Nintendo,Platform,2012
Super Mario Land 3: Wario Land,Nintendo,Platform,1994
The Legend of Zelda: Phantom Hourglass,Nintendo,Action,2007
Donkey Kong Country 2: Diddy's Kong Quest,Nintendo,Platform,1995
Tomodachi Life,Nintendo,Simulation,2013
Mario & Sonic at the Olympic Games,Sega,Sports,2008
Medal of Honor: Rising Sun,Electronic Arts,Shooter,2003
Kirby's Dream Land,Nintendo,Platform,1992
Fable III,Microsoft Game Studios,Role-Playing,2010
Microsoft Flight Simulator,Microsoft Game Studios,Simulation,1996
Guitar Hero II,RedOctane,Misc,2006
Resident Evil 5,Capcom,Action,2009
Grand Theft Auto: Vice City Stories,Take-Two Interactive,Action,2006
FIFA Soccer 11,Electronic Arts,Sports,2010
Super Mario Bros.,Nintendo,Platform,1999
Resident Evil,Virgin Interactive,Action,1996
Tony Hawk's Pro Skater,Activision,Sports,1999
Warzone 2100,Eidos Interactive,Strategy,1999
Spyro the Dragon,Sony Computer Entertainment,Platform,1998
Link's Crossbow Training,Nintendo,Shooter,2007
Guitar Hero III: Legends of Rock,Activision,Misc,2007
Fallout 3,Bethesda Softworks,Role-Playing,2008
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,Nintendo,Role-Playing,2007
Uncharted: Drake's Fortune,Sony Computer Entertainment,Action,2007
Madden NFL 06,Electronic Arts,Sports,2005
Diddy Kong Racing,Nintendo,Racing,1997
Monster Hunter Freedom 3,Capcom,Role-Playing,2010
Dr. Mario,Nintendo,Puzzle,1990
God of War III,Sony Computer Entertainment,Action,2010
StarCraft II: Wings of Liberty,Activision,Strategy,2010
Crash Team Racing,Sony Computer Entertainment,Racing,1999
FIFA 17,Electronic Arts,Sports,2016
Driver 2,Atari,Action,2000
The Simpsons: Hit & Run,Vivendi Games,Racing,2003
Tony Hawk's Pro Skater 2,Activision,Sports,2000
Animal Crossing: City Folk,Nintendo,Simulation,2008
The Lord of the Rings: The Two Towers,Electronic Arts,Action,2002
Forza Motorsport 4,Microsoft Game Studios,Racing,2011
Tomb Raider,Eidos Interactive,Action,1996
The Legend of Zelda: A Link to the Past,Nintendo,Action,1991
The Legend of Zelda: The Wind Waker,Nintendo,Action,2002
Mario & Sonic at the Olympic Winter Games,Sega,Sports,2009
Luigi's Mansion: Dark Moon,Nintendo,Action,2013
Splatoon,Nintendo,Shooter,2015
The Last of Us,Sony Computer Entertainment,Action,2014
Madden NFL 2005,Electronic Arts,Sports,2004
Pitfall!,Activision,Platform,1981
Madden NFL 07,Electronic Arts,Sports,2006
Spider-Man: The Movie,Activision,Action,2002
Dragon Quest VII: Warriors of Eden,Enix Corporation,Role-Playing,2000
Uncharted: The Nathan Drake Collection,Sony Computer Entertainment,Action,2015
God of War,Sony Computer Entertainment,Action,2005
Nintendo Land,Nintendo,Misc,2012
Michael Jackson: The Experience,Ubisoft,Misc,2010
Tony Hawk's Pro Skater 3,Activision,Sports,2001
Winning Eleven: Pro Evolution Soccer 2007,Konami Digital Entertainment,Sports,2006
The Elder Scrolls IV: Oblivion,Take-Two Interactive,Role-Playing,2006
Zelda II: The Adventure of Link,Nintendo,Adventure,1987
Need for Speed: Most Wanted,Electronic Arts,Racing,2005
Resistance: Fall of Man,Sony Computer Entertainment,Shooter,2006
Sonic the Hedgehog,Sega,Platform,1991
Kingdom Hearts II,Square Enix,Role-Playing,2005
Asteroids,Atari,Shooter,1980
Fable II,Microsoft Game Studios,Role-Playing,2008
Halo 5: Guardians,Microsoft Game Studios,Shooter,2015
Super Mario 3D World,Nintendo,Platform,2013
Batman: Arkham Asylum,Eidos Interactive,Action,2009
Assassin's Creed: Revelations,Ubisoft,Action,2011
Namco Museum,Namco Bandai Games,Misc,2001
Metal Gear Solid 3: Snake Eater,Konami Digital Entertainment,Action,2004
Daxter,Sony Computer Entertainment,Platform,2006
Warcraft II: Tides of Darkness,Activision,Strategy,1995
The Legend of Zelda: Ocarina of Time,Nintendo,Action,2011
FIFA Soccer 06,Electronic Arts,Sports,2005
EyeToy Play,Sony Computer Entertainment,Misc,2003
Uncharted 4: A Thief's End,Sony Computer Entertainment,Shooter,2016
Gran Turismo 5 Prologue,Sony Computer Entertainment,Racing,2007
Street Fighter IV,Capcom,Fighting,2009
Teenage Mutant Ninja Turtles,Palcom,Action,1989
Excitebike,Nintendo,Racing,1984
Frogger,Hasbro Interactive,Action,1997
Madden NFL 2003,Electronic Arts,Sports,2002
Watch Dogs,Ubisoft,Action,2014
Half-Life,Vivendi Games,Shooter,1997
Super Mario World 2: Yoshi's Island,Nintendo,Platform,1995
FIFA Soccer 07,Electronic Arts,Sports,2006
The Legend of Zelda: Skyward Sword,Nintendo,Action,2011
Street Fighter II Turbo,Capcom,Fighting,1992
Carnival Games,Take-Two Interactive,Misc,2007
World of Warcraft: The Burning Crusade,Activision,Role-Playing,2007
Fallout: New Vegas,Bethesda Softworks,Role-Playing,2010
God of War II,Sony Computer Entertainment,Action,2007
Forza Motorsport 2,Microsoft Game Studios,Racing,2007
World Soccer Winning Eleven 9,Konami Digital Entertainment,Sports,2005
Namco Museum Vol.3,Sony Computer Entertainment,Misc,1996
Tekken Tag Tournament,Namco Bandai Games,Fighting,2000
Far Cry 4,Ubisoft,Shooter,2014
Star Fox 64,Nintendo,Shooter,1997
Minecraft,Sony Computer Entertainment Europe,Misc,2014
Golf,Nintendo,Sports,1984
Professor Layton and the Diabolical Box,Nintendo,Puzzle,2007
Left 4 Dead 2,Electronic Arts,Shooter,2009
Namco Museum: 50th Anniversary,Namco Bandai Games,Misc,2005
EA Sports Active,Electronic Arts,Sports,2009
Assassin's Creed: Unity,Ubisoft,Action,2014
Donkey Kong Land,Nintendo,Platform,1994
Tony Hawk's Underground,Activision,Sports,2003
Assassin's Creed IV: Black Flag,Ubisoft,Action,2013
Monster Hunter 4 Ultimate,Nintendo,Role-Playing,2014
MotorStorm,Sony Computer Entertainment,Racing,2006
Tekken 5,Namco Bandai Games,Fighting,2005
Dragon Warrior III,Enix Corporation,Role-Playing,1988
Sports Champions,Sony Computer Entertainment,Sports,2010
NBA 2K16,Take-Two Interactive,Sports,2015
World Soccer Winning Eleven 8 International,Konami Digital Entertainment,Sports,2004
Flash Focus: Vision Training in Minutes a Day,Nintendo,Misc,2007
Namco Museum Vol.1,Sony Computer Entertainment,Misc,1995
The Legend of Zelda: Link's Awakening,Nintendo,Action,1992
Mario & Luigi: Bowser's Inside Story,Nintendo,Role-Playing,2009
Big Brain Academy: Wii Degree,Nintendo,Misc,2007
Nintendogs + cats,Nintendo,Simulation,2011
Batman: Arkham Knight,Warner Bros. Interactive Entertainment,Action,2015
Mario & Sonic at the London 2012 Olympic Games,Sega,Sports,2011
LEGO Indiana Jones: The Original Adventures,Activision,Action,2008
Resident Evil Director's Cut,Virgin Interactive,Action,1996
Ratchet & Clank: Size Matters,Sony Computer Entertainment,Platform,2007
Just Dance 2014,Ubisoft,Misc,2013
The Sims: Unleashed,Electronic Arts,Simulation,2002
Super Paper Mario,Nintendo,Platform,2007
Harry Potter and the Sorcerer's Stone,Electronic Arts,Action,2001
The Witcher 3: Wild Hunt,Namco Bandai Games,Role-Playing,2015
Resident Evil 3: Nemesis,Eidos Interactive,Action,1999
Spyro: Year of the Dragon,Sony Computer Entertainment,Platform,2000
FIFA Soccer 2005,Electronic Arts,Sports,2004
Pokémon Trading Card Game,Nintendo,Strategy,1998
Battlefield 4,Electronic Arts,Shooter,2013
MySims,Electronic Arts,Simulation,2007
Friend Collection,Nintendo,Misc,2009
Tony Hawk's Pro Skater 4,Activision,Sports,2002
Midnight Club 3: DUB Edition,Take-Two Interactive,Racing,2005
Banjo-Kazooie,Nintendo,Platform,1998
SOCOM: U.S. Navy SEALs,Sony Computer Entertainment,Shooter,2002
Guitar Hero: World Tour,Activision,Misc,2008
Gran Turismo 6,Sony Computer Entertainment,Racing,2013
Jak and Daxter: The Precursor Legacy,Sony Computer Entertainment,Platform,2001
Pokemon Snap,Nintendo,Simulation,1999
FIFA Soccer 10,Electronic Arts,Sports,2009
Pro Evolution Soccer 2008,Konami Digital Entertainment,Sports,2007
Resident Evil 4,Capcom,Action,2005
Tom Clancy's The Division,Ubisoft,Shooter,2016
Star Wars: Battlefront,LucasArts,Shooter,2004
Doom II: Hell on Earth,Virgin Interactive,Shooter,1994
The Simpsons: Road Rage,Electronic Arts,Racing,2001
Cooking Mama 2: Dinner With Friends,505 Games,Simulation,2007
Luigi's Mansion,Nintendo,Action,2001
Star Wars: Battlefront II,LucasArts,Shooter,2005
WWF SmackDown!,THQ,Fighting,2000
Croc: Legend of the Gobbos,Fox Interactive,Platform,1997
Grand Theft Auto: Liberty City Stories,Take-Two Interactive,Action,2006
The Getaway,Sony Computer Entertainment,Action,2002
Tomb Raider III: Adventures of Lara Croft,Eidos Interactive,Action,1997
James Bond 007: Agent Under Fire,Electronic Arts,Shooter,2001
LEGO Star Wars: The Video Game,Eidos Interactive,Action,2005
Rugrats in Paris: The Movie,THQ,Action,2000
Spyro 2: Ripto's Rage!,Sony Computer Entertainment,Platform,1999
Left 4 Dead,Electronic Arts,Shooter,2008
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Nintendo,Platform,1996
Assassin's Creed: Brotherhood,Ubisoft,Action,2010
Kung Fu,Nintendo,Action,1985
Clubhouse Games,Nintendo,Misc,2006
Battlefield: Bad Company 2,Electronic Arts,Shooter,2010
Guitar Hero: On Tour,Activision,Misc,2008
Far Cry 3,Ubisoft,Shooter,2012
Monster Hunter 4,Capcom,Role-Playing,2013
Borderlands,Take-Two Interactive,Shooter,2009
Tekken 4,Namco Bandai Games,Fighting,2002
LittleBigPlanet 2,Sony Computer Entertainment,Platform,2011
Grand Theft Auto 2,Take-Two Interactive,Action,1998
Final Fantasy III,SquareSoft,Role-Playing,1994
Spider-Man 2,Activision,Action,2004
F-1 Race,Nintendo,Racing,1990
FIFA Soccer 2003,Electronic Arts,Sports,2002
Crash Bash,Sony Computer Entertainment,Misc,2000
LEGO Batman: The Videogame,Warner Bros. Interactive Entertainment,Action,2008
Metal Gear Solid V: The Phantom Pain,Konami Digital Entertainment,Action,2015
The Legend of Zelda: Spirit Tracks,Nintendo,Action,2009
WWF War Zone,Acclaim Entertainment,Fighting,1998
The Legend of Zelda: Majora's Mask,Nintendo,Action,2000
Professor Layton and the Unwound Future,Nintendo,Puzzle,2008
Rugrats: Search For Reptar,THQ,Adventure,1998
English Training: Have Fun Improving Your Skills!,Nintendo,Misc,2006
James Bond 007: Nightfire,Electronic Arts,Shooter,2002
Ratchet & Clank,Sony Computer Entertainment,Platform,2002
Mario Party 9,Nintendo,Misc,2012
Star Wars Episode III: Revenge of the Sith,LucasArts,Action,2005
Max Payne,Take-Two Interactive,Shooter,2001
The Lord of the Rings: The Return of the King,Electronic Arts,Action,2003
Assassin's Creed Syndicate,Ubisoft,Action,2015
True Crime: Streets of LA,Activision,Action,2003
Wii Music,Nintendo,Misc,2008
Gran Turismo (PSP),Sony Computer Entertainment,Racing,2009
Monster Hunter X,Capcom,Action,2015
Tekken,Sony Computer Entertainment,Fighting,1995
L.A. Noire,Take-Two Interactive,Adventure,2011
Madden NFL 16,Electronic Arts,Sports,2015
Yokai Watch 2 Ganso/Honke,Nintendo,Role-Playing,2014
007: Tomorrow Never Dies,Electronic Arts,Shooter,1999
Baseball,Nintendo,Sports,1983
Killer Instinct,Nintendo,Fighting,1995
WWF SmackDown! 2: Know Your Role,THQ,Fighting,2000
Crisis Core: Final Fantasy VII,Square Enix,Role-Playing,2007
God of War: Chains of Olympus,Sony Computer Entertainment,Action,2008
Dragon Quest VI: Maboroshi no Daichi,Enix Corporation,Role-Playing,1995
Dance Central,MTV Games,Misc,2010
Enter the Matrix,Atari,Action,2003
Super Mario Maker,Nintendo,Platform,2015
Rhythm Heaven,Nintendo,Misc,2008
Ace Combat 04: Shattered Skies,Sony Computer Entertainment Europe,Simulation,2001
Club Penguin: Elite Penguin Force,Disney Interactive Studios,Adventure,2008
Animal Crossing,Nintendo,Simulation,2001
Sonic Rush,Sega,Platform,2005
Resident Evil 6,Capcom,Shooter,2012
Halo: The Master Chief Collection,Microsoft Game Studios,Shooter,2014
FIFA Soccer 08,Electronic Arts,Sports,2007
Spider-Man,Activision,Action,2000
Need for Speed III: Hot Pursuit,Electronic Arts,Racing,1998
Star Wars Episode I Racer,Nintendo,Racing,1999
Personal Trainer: Cooking,Nintendo,Misc,2006
The Elder Scrolls IV: Oblivion,Ubisoft,Role-Playing,2007
Dragon Warrior IV,Enix Corporation,Role-Playing,1990
Heavy Rain,Sony Computer Entertainment,Adventure,2010
Mass Effect 2,Electronic Arts,Role-Playing,2010
Dragon Ball Z: Budokai,Atari,Fighting,2002
Madden NFL 2002,Electronic Arts,Sports,2001
World Class Track Meet,Namco Bandai Games,Sports,1986
Borderlands 2,Take-Two Interactive,Shooter,2012
The Legend of Zelda: A Link Between Worlds,Nintendo,Action,2013
Donkey Kong,Nintendo,Platform,1994
The Sims: Vacation,Electronic Arts,Simulation,2002
Mass Effect 3,Electronic Arts,Role-Playing,2012
Kung Fu Panda,Activision,Action,2008
Epic Mickey,Disney Interactive Studios,Platform,2010
Saints Row 2,THQ,Action,2008
Rayman,Ubisoft,Platform,1995
Killzone 2,Sony Computer Entertainment,Shooter,2009
Tom Clancy's Splinter Cell,Ubisoft,Action,2002
Mike Tyson's Punch-Out!!,Nintendo,Fighting,1987
WWE SmackDown! Shut Your Mouth,THQ,Sports,2002
Gears of War: Ultimate Edition,Microsoft Game Studios,Shooter,2015
NBA 2K13,Take-Two Interactive,Sports,2012
Dragon Ball Z: Budokai Tenkaichi 3,Atari,Fighting,2007
Middle-Earth: Shadow of Mordor,Warner Bros. Interactive Entertainment,Action,2014
Star Fox,Nintendo,Shooter,1993
The Sims: Livin Large,Electronic Arts,Misc,2000
World Soccer Winning Eleven 6 International,Konami Digital Entertainment,Sports,2002
Devil May Cry,Capcom,Action,2001
Animal Crossing: Happy Home Designer,Nintendo,Simulation,2015
The Sims 4,Electronic Arts,Simulation,2014
Star Wars: The Old Republic,Electronic Arts,Role-Playing,2011
Sonic Heroes,Sega,Platform,2003
Kirby Super Star Ultra,Nintendo,Platform,2008
Hitman 2: Silent Assassin,Eidos Interactive,Action,2002
Wave Race 64,Nintendo,Racing,1996
SOCOM II: U.S. Navy SEALs,Sony Computer Entertainment,Shooter,2003
WWE SmackDown! vs. RAW 2006,THQ,Fighting,2005
inFAMOUS,Sony Computer Entertainment,Action,2009
Pac-Man Collection,Atari,Puzzle,2001
Mass Effect,Microsoft Game Studios,Role-Playing,2007
WarioWare: Smooth Moves,Nintendo,Puzzle,2006
Cooking Mama: Cook Off,505 Games,Simulation,2007
Super Mario World 2: Yoshi's Island,Nintendo,Platform,2002
Titanfall,Electronic Arts,Shooter,2014
Sonic Mega Collection Plus,Sega,Misc,2004
Sega Superstars Tennis,Sega,Sports,2008
World Soccer Winning Eleven 7 International,Konami Digital Entertainment,Sports,2003
Need for Speed: Most Wanted,Electronic Arts,Racing,2012
Hot Shots Golf 3,Sony Computer Entertainment,Sports,2001
Call of Duty: Finest Hour,Activision,Shooter,2004
Zumba Fitness 2,Majesco Entertainment,Sports,2011
Syphon Filter,Sony Computer Entertainment,Shooter,1999
Imagine: Babyz,Ubisoft,Simulation,2007
Colin McRae Rally,Codemasters,Racing,1998
Madden NFL 13,Electronic Arts,Sports,2012
The Elder Scrolls III: Morrowind,Ubisoft,Role-Playing,2002
Mortal Kombat,Warner Bros. Interactive Entertainment,Fighting,2011
F-Zero,Nintendo,Racing,1990
Yoshi's Story,Nintendo,Platform,1997
Command & Conquer: Red Alert,Virgin Interactive,Strategy,1996
Skylanders: Spyro's Adventure,Activision,Action,2011
BioShock,Take-Two Interactive,Shooter,2007
Madden NFL 10,Electronic Arts,Sports,2009
Medal of Honor,Electronic Arts,Shooter,2010
WWE SmackDown! vs. Raw,THQ,Fighting,2002
Metroid Prime,Nintendo,Shooter,2002
Finding Nemo,THQ,Action,2003
Myst,Red Orb,Adventure,1994
Need for Speed: Hot Pursuit,Electronic Arts,Racing,2010
Imagine: Fashion Designer,Ubisoft,Simulation,2007
WWE SmackDown! Here Comes the Pain,THQ,Fighting,2003
Star Wars: The Force Unleashed,LucasArts,Action,2008
Yoshi's Island DS,Nintendo,Platform,2006
Hot Shots Golf,Sony Computer Entertainment,Sports,1997
Killzone 3,Sony Computer Entertainment,Shooter,2011
A Bug's Life,Sony Computer Entertainment,Platform,1998
WWF SmackDown! Just Bring It,THQ,Fighting,2001
Dragon Quest V: Tenkuu no Hanayome,Enix Corporation,Role-Playing,1992
Mortal Kombat Trilogy,GT Interactive,Fighting,1996
NBA Street,Electronic Arts,Sports,2001
Professor Layton and the Last Specter,Nintendo,Puzzle,2009
Monster Hunter Tri,Nintendo,Role-Playing,2011
Jak II,Sony Computer Entertainment,Platform,2003
inFAMOUS: Second Son,Sony Computer Entertainment,Action,2014
Ratchet & Clank: Going Commando,Sony Computer Entertainment,Platform,2003
Tekken 6,Namco Bandai Games,Fighting,2009
The Sims,Electronic Arts,Simulation,2003
Sonic and the Secret Rings,Sega,Platform,2007
Saints Row: The Third,THQ,Action,2011
Missile Command,Atari,Shooter,1980
Mario Paint,Nintendo,Misc,1992
Pokémon Stadium 2,Nintendo,Strategy,2000
Metroid,Nintendo,Action,1986
Call of Duty 3,Activision,Shooter,2006
The Legend of Zelda: A Link to the Past,Nintendo,Action,2002
Onimusha: Warlords,Virgin Interactive,Action,2001
Mortal Kombat X,Warner Bros. Interactive Entertainment,Fighting,2015
Mario Party,Nintendo,Misc,1998
Madden NFL 12,Electronic Arts,Sports,2011
LEGO Star Wars II: The Original Trilogy,LucasArts,Action,2006
Madden NFL 11,Electronic Arts,Sports,2010
Mario vs. Donkey Kong: Mini-Land Mayhem!,Nintendo,Puzzle,2010
Skate 3,Electronic Arts,Sports,2010
Burnout 3: Takedown,Electronic Arts,Racing,2004
Yokai Watch 2 Shinuchi,Level 5,Role-Playing,2014
Need for Speed: Shift,Electronic Arts,Racing,2009
Final Fantasy XIII-2,Square Enix,Role-Playing,2011
Mortal Kombat,Arena Entertainment,Fighting,1992
Call Of Duty 2: Big Red One,Activision,Shooter,2005
Medal of Honor,Electronic Arts,Shooter,1998
Fable,Microsoft Game Studios,Role-Playing,2004
Hannah Montana,Disney Interactive Studios,Action,2006
Tom Clancy's Splinter Cell,Ubisoft,Action,2003
Skylanders Giants,Activision,Action,2012
Medal of Honor Heroes,Electronic Arts,Shooter,2006
Super Mario Bros.: The Lost Levels,Nintendo,Platform,1986
Star Wars: Shadows of the Empire,Nintendo,Action,1996
Midnight Club: Street Racing,Take-Two Interactive,Racing,2000
Pac-Man: Adventures in Time,Sony Computer Entertainment,Fighting,2006
